key,label,model,penalty,p,n,reps,Delta_IF,Delta_IF_se,Delta_CV,Delta_CV_se,Delta_tune,Delta_tune_se,R_n,R_n_se,R,Delta_R
D1,Linear / Ridge,linear,Ridge,10,50,8000,0.21993514615471108,0.0010864709715974893,0.7634938889060815,0.006305385703418446,0.15386755135156838,0.0021039837613092073,3.4125111418034098,0.01638126173630591,3.084226417680241,0.32828472412316856
D1,Linear / Ridge,linear,Ridge,10,100,8000,0.11069070704058614,0.0005750570039915928,0.4715364634778663,0.004006958062936707,0.10583736772087828,0.0015830279015969406,3.222837000317389,0.015143518324494796,3.084226417680241,0.13861058263714776
D1,Linear / Ridge,linear,Ridge,10,200,8000,0.05503774467955971,0.00029506757358906767,0.3046345671433374,0.0026412098889563524,0.07384778051600459,0.001308116853335385,3.150525060303514,0.014092113939962021,3.084226417680241,0.06629864262327301
D1,Linear / Ridge,linear,Ridge,10,400,8000,0.02755718970701004,0.00013992323443931003,0.20821639346859003,0.001718225657536009,0.052316670709503924,0.0009682348329127776,3.1099787781998973,0.014306809766642522,3.084226417680241,0.025752360519656126
D1,Linear / Ridge,linear,Ridge,10,800,8000,0.013697111070376996,7.418459444720468e-05,0.14410270701765324,0.0013488418281980144,0.035344144687470436,0.0008209784301758943,3.088293218167536,0.01371909411681097,3.084226417680241,0.004066800487295019
D2,Linear / Lasso (sparse),linear,Lasso,10,50,2000,0.21909584940894056,0.002267693490947508,0.5967453321598796,0.007999462279564032,0.19845235866604788,0.006407305389952703,4.577540542635328,0.06340568453626375,3.7887983334232747,0.7887422092120531
D2,Linear / Lasso (sparse),linear,Lasso,10,100,2000,0.10931651704450833,0.0011197092094455568,0.40001271336415684,0.005192768638212097,0.15863198671513046,0.006119323799925077,4.159195571824514,0.060521176489127214,3.7887983334232747,0.3703972384012397
D2,Linear / Lasso (sparse),linear,Lasso,10,200,2000,0.05507322801967353,0.0005888514832899923,0.287768459116885,0.003657672595257605,0.12513044512310517,0.004519088448677755,3.9307276259233923,0.05681105468714153,3.7887983334232747,0.14192929250011765
D2,Linear / Lasso (sparse),linear,Lasso,10,400,2000,0.027850755408224716,0.0003138004524912751,0.22645433152410177,0.002830951126183774,0.1108911905672218,0.00493979463248743,3.8846801222452654,0.054739539856122385,3.7887983334232747,0.09588178882199072
D2,Linear / Lasso (sparse),linear,Lasso,10,800,2000,0.013626580826755852,0.0001655630720577371,0.182240762788672,0.002078200975051637,0.08876786991135827,0.004966866041608297,3.866024152539003,0.052527902869080184,3.7887983334232747,0.07722581911572846
D3,Logit / Ridge,logit,Ridge,10,50,2000,0.9999999941500485,0.11456687973460208,1.00000000000213,0.05841937292028577,0.14792899620979233,0.04619582736504993,3.0792757494509098,0.036666345114197724,3.0746764812666414,0.004599268184268368
D3,Logit / Ridge,logit,Ridge,10,100,2000,0.17046133204727387,0.002305810957362997,0.9392430736068034,0.005635191421556206,0.2125962471057671,0.003098610720589098,2.9776667335332614,0.02600030349986699,3.0746764812666414,0.09700974773338
D3,Logit / Ridge,logit,Ridge,10,200,2000,0.07361601100185618,0.0010177090422684482,0.5601952570069897,0.0047071500511269414,0.11013674310041509,0.002600116822212779,2.9847838220934895,0.026253663834995247,3.0746764812666414,0.08989265917315192
D3,Logit / Ridge,logit,Ridge,10,400,2000,0.03163622657915786,0.00039545813458829337,0.30890211196974526,0.0034487399103886106,0.05483357400468907,0.0021048316547779486,3.0621620135839938,0.027331658765466175,3.0746764812666414,0.012514467682647634
D3,Logit / Ridge,logit,Ridge,10,800,2000,0.014867143603529382,0.00017466959827042185,0.1725882289863577,0.0023986407832568054,0.03324358904842168,0.0015193607152986966,3.02420996294655,0.02831633576910899,3.0746764812666414,0.050466518320091414
D4,Logit / Lasso (sparse),logit,Lasso,10,50,2000,0.99429888836538,0.02594944891115371,1.3687464459819376,0.008050953673598083,0.002249908872704357,0.0074223792537615055,3.9660824161478434,0.05908124772196814,3.7763085996220425,0.18977381652580094
D4,Logit / Lasso (sparse),logit,Lasso,10,100,2000,0.2350401376452245,0.003347173512785167,0.7401300517960552,0.0052175367200877135,0.21961936637449223,0.005924168559386702,3.891386514630979,0.053252840361562206,3.7763085996220425,0.1150779150089365
D4,Logit / Lasso (sparse),logit,Lasso,10,200,2000,0.090917847561956,0.0014015658545466865,0.4637160309920748,0.004198130917369083,0.17645912734687105,0.005798464608656279,3.7354354559394793,0.047658076183350793,3.7763085996220425,0.04087314368256312
D4,Logit / Lasso (sparse),logit,Lasso,10,400,2000,0.03822679732531643,0.0004935713450337863,0.29656238899525794,0.00298532271673997,0.12688406108901737,0.005165986311091918,3.7307323046119043,0.053261878023244655,3.7763085996220425,0.04557629501013816
D4,Logit / Lasso (sparse),logit,Lasso,10,800,2000,0.016525800222416048,0.00021097113890696697,0.2120965697085917,0.0024903627889613445,0.09048810434421112,0.004766869967890791,3.790124744968349,0.04883566427218097,3.7763085996220425,0.013816145346306374
D5,Linear / Ridge (anisotropic),linear,Ridge,10,50,8000,0.22079930996126834,0.0011073578006702387,0.5115288715156361,0.004046277610133443,0.11931830945844317,0.0026446267812133308,5.683692827367639,0.02862709798136393,4.732770853017537,0.9509219743501021
D5,Linear / Ridge (anisotropic),linear,Ridge,10,100,8000,0.11075148349117463,0.0005933650324276439,0.3264522626578333,0.0026536531512290885,0.08051185322722251,0.0023271064252185403,5.217711752865141,0.02639043520541415,4.732770853017537,0.48494089984760436
D5,Linear / Ridge (anisotropic),linear,Ridge,10,200,8000,0.054871875440952844,0.0003239506576730802,0.22247953953293007,0.0019082852180072813,0.05265666936597562,0.0016310925912836867,4.922452572931499,0.02335428789273781,4.732770853017537,0.18968171991396243
D5,Linear / Ridge (anisotropic),linear,Ridge,10,400,8000,0.02769701029911143,0.00016056909210448032,0.15187879052898087,0.001373455485324476,0.03646223893848207,0.0013047861370872567,4.826607749133475,0.024379578707920097,4.732770853017537,0.09383689611593837
D5,Linear / Ridge (anisotropic),linear,Ridge,10,800,8000,0.013795401164603394,8.095426023214044e-05,0.10797091942745023,0.0009292421546448161,0.02613366473617431,0.0012261059095783954,4.770785178675997,0.023420507052464068,4.732770853017537,0.03801432565845975
